Time,Load,Temperature,Wind_speed,Day,Month,Hour,Day_of_week,Is_holiday
2021-01-02 11:00:00,52859.7,0.8,3.596012818638908,2,1,11,5,0
2021-05-17 11:00:00,66653.6,11.7,5.213879568168861,17,5,11,0,0
2021-04-01 21:00:00,58505.8,10.9,1.970628562991867,1,4,21,3,0
2021-11-14 09:00:00,48676.2,6.3,1.8618587087182703,14,11,9,6,0
2021-07-26 18:00:00,63098.0,23.2,1.995117514632841,26,7,18,0,0
2021-12-18 07:00:00,52424.5,3.1,3.621878535535296,18,12,7,5,0
2021-08-28 10:00:00,53996.7,13.4,2.3261284448266046,28,8,10,5,0
2021-04-10 11:00:00,58188.8,7.6,2.6086370738844096,10,4,11,5,0
2021-12-18 12:00:00,64303.5,4.1,3.349975316121308,18,12,12,5,0
2021-08-01 22:00:00,46588.3,14.8,2.619395538847308,1,8,22,6,0
2021-08-18 01:00:00,45645.6,12.6,2.6235860092533816,18,8,1,2,0
2021-04-07 16:00:00,70817.6,2.8,4.936847908999405,7,4,16,2,0
2021-10-14 23:00:00,56155.0,9.3,1.3015553073325925,14,10,23,3,0
2021-07-23 21:00:00,54158.4,20.3,2.142003448312068,23,7,21,4,0
2021-11-20 03:00:00,48666.3,7.7,1.3285409268625914,20,11,3,5,0
2021-12-08 14:00:00,75885.5,2.2,1.8349875435203031,8,12,14,2,0
2021-12-06 17:00:00,75681.5,0.7,2.7564945619484367,6,12,17,0,0
2021-10-25 08:00:00,68933.1,1.9,1.5819045617053866,25,10,8,0,0
2021-02-05 22:00:00,60408.9,3.3,2.891341643868578,5,2,22,4,0
2021-12-19 17:00:00,61602.0,4.0,2.12951143733175,19,12,17,6,0
2021-10-12 01:00:00,49666.2,7.7,2.2966508903965672,12,10,1,1,0
2021-05-11 01:00:00,45648.4,13.7,2.637498448708975,11,5,1,1,0
2021-02-19 14:00:00,67294.3,8.8,1.620731770794121,19,2,14,4,0
2021-05-21 20:00:00,59373.4,12.9,4.033213498790732,21,5,20,4,0
2021-10-13 08:00:00,68385.6,4.3,2.929929556172657,13,10,8,2,0
2021-12-10 07:00:00,68773.0,-0.3,3.903816332876792,10,12,7,4,0
2021-02-03 20:00:00,71264.5,6.7,5.570838847870521,3,2,20,2,0
2021-01-11 17:00:00,76759.8,-1.0,1.816532723444653,11,1,17,0,0
2021-11-28 07:00:00,46903.9,-0.1,2.588400568623626,28,11,7,6,0
2021-04-28 17:00:00,61817.4,17.3,2.995588912442274,28,4,17,2,0
2021-07-11 01:00:00,39356.0,15.2,2.8165061805881995,11,7,1,6,0
2021-07-07 06:00:00,53466.6,14.6,1.6589989050832916,7,7,6,2,0
2021-10-26 07:00:00,65901.6,7.4,1.9206766850134425,26,10,7,1,0
2021-03-06 09:00:00,57548.9,-0.7,2.7694987959897253,6,3,9,5,0
2021-08-14 09:00:00,51161.5,19.0,1.3710217467884358,14,8,9,5,0
2021-05-05 01:00:00,51802.7,7.5,4.560012075826861,5,5,1,2,0
2021-06-09 14:00:00,65513.8,22.5,1.8865449885592724,9,6,14,2,0
2021-01-29 18:00:00,71519.0,3.8,5.364924540835233,29,1,18,4,0
2021-07-03 05:00:00,41362.5,11.5,1.573907203866921,3,7,5,5,0
2021-10-17 00:00:00,46774.4,5.8,1.5756973704461288,17,10,0,6,0
2021-11-17 19:00:00,71494.6,5.5,1.7758563855963516,17,11,19,2,0
2021-08-21 03:00:00,39339.8,12.6,1.335340398146176,21,8,3,5,0
2021-10-08 22:00:00,54900.4,9.2,3.379941733276704,8,10,22,4,0
2021-08-15 02:00:00,38615.5,16.0,1.210415034223674,15,8,2,6,0
2021-01-11 21:00:00,69792.0,-0.9,2.249302121082989,11,1,21,0,0
2021-11-09 00:00:00,52368.4,4.8,3.105539100745747,9,11,0,1,0
2021-05-18 05:00:00,49048.6,8.4,3.7989974945552656,18,5,5,1,0
2021-04-10 14:00:00,54799.7,9.4,3.342180481889016,10,4,14,5,0
2021-04-08 03:00:00,52520.3,0.7,3.4632800626913176,8,4,3,3,0
2021-08-30 22:00:00,54941.2,14.3,2.380242835578752,30,8,22,0,0
2021-08-21 05:00:00,39838.2,12.1,1.2177533116868051,21,8,5,5,0
2021-07-10 03:00:00,42202.0,13.3,1.6457108875196345,10,7,3,5,0
2021-09-29 22:00:00,58244.1,10.1,3.181918802395592,29,9,22,2,0
2021-08-16 16:00:00,63009.1,18.4,4.542005666070635,16,8,16,0,0
2021-03-26 18:00:00,63210.1,13.4,2.8749361950328725,26,3,18,4,0
2021-08-04 11:00:00,63142.4,17.1,1.333936627033017,4,8,11,2,0
2021-08-15 21:00:00,48586.3,20.4,2.3696176107053764,15,8,21,6,0
2021-11-04 20:00:00,70911.6,5.9,2.651584557091529,4,11,20,3,0
2021-03-29 14:00:00,66715.2,16.2,1.0072388424125147,29,3,14,0,0
2021-05-02 21:00:00,51348.2,6.3,2.4136557943126897,2,5,21,6,0
2021-03-04 00:00:00,53259.9,4.7,2.332614726991059,4,3,0,3,0
2021-07-06 17:00:00,65587.8,22.1,2.304056598674205,6,7,17,1,0
2021-11-18 19:00:00,71496.4,6.7,1.5055596614149267,18,11,19,3,0
2021-10-27 17:00:00,67379.4,13.0,1.587131349376696,27,10,17,2,0
2021-09-06 09:00:00,61846.5,13.8,1.1757184288220546,6,9,9,0,0
2021-02-01 15:00:00,71141.7,2.2,3.5760755990118778,1,2,15,0,0
2021-05-08 04:00:00,46045.6,1.5,1.8060654857992733,8,5,4,5,0
2021-03-19 12:00:00,72357.2,2.6,2.574668466109346,19,3,12,4,0
2021-06-29 15:00:00,66598.2,22.3,3.240832573376473,29,6,15,1,0
2021-06-07 18:00:00,61754.9,19.8,1.90071752656448,7,6,18,0,0
2021-01-24 03:00:00,45270.5,0.1,3.9349125307549055,24,1,3,6,0
2021-10-08 08:00:00,64691.3,6.9,3.3971685661968105,8,10,8,4,0
2021-08-15 04:00:00,37873.8,15.1,1.2697156884275782,15,8,4,6,0
2021-01-26 02:00:00,54624.8,-1.2,3.4651064917791228,26,1,2,1,0
2021-03-08 18:00:00,68246.6,3.4,2.70942153336036,8,3,18,0,0
2021-04-29 16:00:00,65329.8,12.2,2.5210543584283176,29,4,16,3,0
2021-09-11 05:00:00,40857.0,16.3,1.6241549473030734,11,9,5,5,0
2021-11-04 04:00:00,48828.3,5.7,3.508148373833407,4,11,4,3,0
2021-06-10 23:00:00,51302.1,16.4,1.9604087044287952,10,6,23,3,0
2021-12-11 10:00:00,61769.1,0.0,3.921973431557952,11,12,10,5,0
2021-12-21 15:00:00,65931.2,0.1,1.247062522615899,21,12,15,1,0
2021-02-08 16:00:00,71011.8,-4.4,2.937703976810828,8,2,16,0,0
2021-08-24 01:00:00,45330.3,12.8,3.487007402235492,24,8,1,1,0
2021-03-12 13:00:00,72691.3,7.6,4.2345012192108005,12,3,13,4,0
2021-04-12 14:00:00,68982.3,4.6,3.8689069364978135,12,4,14,0,0
2021-08-14 01:00:00,43398.7,17.5,1.5104397446894418,14,8,1,5,0
2021-05-20 11:00:00,66459.3,11.3,2.457408664662156,20,5,11,3,0
2021-07-23 01:00:00,45872.4,14.8,1.9990204173553512,23,7,1,4,0
2021-11-20 18:00:00,63592.1,7.2,0.9935058244149338,20,11,18,5,0
2021-05-13 05:00:00,42330.8,8.2,1.9284221889813369,13,5,5,3,1
2021-07-03 22:00:00,46750.6,17.6,1.740524467608059,3,7,22,5,0
2021-05-01 06:00:00,39764.1,4.9,2.2305438945808738,1,5,6,5,1
2021-10-28 14:00:00,66637.5,12.7,1.446637390410042,28,10,14,3,0
2021-05-05 06:00:00,59207.8,5.9,4.49375163638466,5,5,6,2,0
2021-05-29 14:00:00,51036.5,14.7,3.428731000943113,29,5,14,5,0
2021-01-23 08:00:00,54963.6,0.6,3.760388027375273,23,1,8,5,0
2021-10-21 08:00:00,72267.4,12.3,6.4068159801867335,21,10,8,3,0
2021-11-06 06:00:00,49607.5,4.5,2.4049691966347826,6,11,6,5,0
2021-04-28 23:00:00,54385.9,10.8,3.150460697417552,28,4,23,2,0
2021-07-22 09:00:00,63083.8,17.4,0.9251107594589936,22,7,9,3,0
2021-05-27 12:00:00,68543.3,10.9,2.0798626320906712,27,5,12,3,0
2021-09-27 00:00:00,43763.4,15.8,2.6412371745235297,27,9,0,0,0
2021-11-09 15:00:00,68731.8,9.7,2.59567951984486,9,11,15,1,0
2021-01-18 22:00:00,64410.1,1.7,2.0895212007218333,18,1,22,0,0
2021-11-13 07:00:00,52353.9,3.4,2.14636980173946,13,11,7,5,0
2021-12-18 03:00:00,48511.9,3.2,3.391041008214621,18,12,3,5,0
2021-12-09 16:00:00,73493.1,1.4,3.0678489086403635,9,12,16,3,0
2021-12-14 05:00:00,55666.2,4.8,1.8348129543346203,14,12,5,1,0
2021-02-25 09:00:00,68592.5,7.5,1.874187208844822,25,2,9,3,0
2021-04-08 20:00:00,65102.8,4.4,1.4710447174830066,8,4,20,3,0
2021-08-19 08:00:00,62611.9,15.2,1.116015747529084,19,8,8,3,0
2021-03-17 15:00:00,68926.1,4.1,3.356771736938772,17,3,15,2,0
2021-10-28 17:00:00,64878.3,12.6,1.565548207930339,28,10,17,3,0
2021-05-13 00:00:00,47251.9,9.6,1.7385781378967178,13,5,0,3,1
2021-09-17 12:00:00,66671.1,15.6,1.7841227261788404,17,9,12,4,0
2021-05-19 22:00:00,56526.2,8.9,3.118563171749612,19,5,22,2,0
2021-01-14 09:00:00,73048.7,-0.3,4.826105123182558,14,1,9,3,0
2021-10-05 01:00:00,46471.1,10.4,2.331497346250256,5,10,1,1,0
2021-08-26 16:00:00,62666.8,16.0,4.167403638977366,26,8,16,3,0
2021-05-11 00:00:00,48282.7,14.1,2.9724118713505976,11,5,0,1,0
2021-12-22 09:00:00,68959.8,-5.1,1.5826356863960562,22,12,9,2,0
2021-04-08 08:00:00,68787.9,0.4,2.6116308752927253,8,4,8,3,0
2021-12-20 12:00:00,69401.0,2.4,2.578287973344775,20,12,12,0,0
2021-08-06 05:00:00,45552.7,13.8,2.9991239237877,6,8,5,4,0
2021-02-17 18:00:00,72501.0,6.2,1.1166444768025772,17,2,18,2,0
2021-11-06 14:00:00,57457.2,8.4,2.044319147077229,6,11,14,5,0
2021-08-20 02:00:00,43647.9,15.3,1.4245414865004953,20,8,2,4,0
2021-05-09 08:00:00,46145.3,12.0,3.382217888259221,9,5,8,6,0
2021-06-15 19:00:00,62669.4,23.6,1.9479218427429488,15,6,19,1,0
2021-04-20 11:00:00,69036.9,10.3,1.0765544608599913,20,4,11,1,0
2021-06-23 12:00:00,67123.8,18.1,2.3026559930370505,23,6,12,2,0
2021-05-07 03:00:00,47235.7,4.9,4.221663213675507,7,5,3,4,0
2021-05-12 10:00:00,65882.8,11.4,2.5936549710648387,12,5,10,2,0
2021-06-25 00:00:00,47847.2,14.9,2.6997887145811768,25,6,0,4,0
2021-08-25 07:00:00,58184.7,9.4,2.725975615083684,25,8,7,2,0
2021-04-04 19:00:00,48927.4,8.2,2.51489655758513,4,4,19,6,0
