Date (GMT+1),Load
,Power (MW)
2023-01-01T00:00+01:00,38882.6
2023-01-01T00:15+01:00,38564.6
2023-01-01T00:30+01:00,38438.4
2023-01-01T00:45+01:00,38260.4
2023-01-01T01:00+01:00,37893.7
2023-01-01T01:15+01:00,37791.7
2023-01-01T01:30+01:00,38200.9
2023-01-01T01:45+01:00,37854.8
2023-01-01T02:00+01:00,37433.5
2023-01-01T02:15+01:00,37223.5
2023-01-01T02:30+01:00,37003.2
2023-01-01T02:45+01:00,36752.1
2023-01-01T03:00+01:00,36561.6
2023-01-01T03:15+01:00,36048.9
2023-01-01T03:30+01:00,35956.5
2023-01-01T03:45+01:00,35990.1
2023-01-01T04:00+01:00,35850.6
2023-01-01T04:15+01:00,35644.9
2023-01-01T04:30+01:00,35624.3
2023-01-01T04:45+01:00,35726
2023-01-01T05:00+01:00,35879.5
2023-01-01T05:15+01:00,35875.7
2023-01-01T05:30+01:00,35915.9
2023-01-01T05:45+01:00,35745.1
2023-01-01T06:00+01:00,35365.2
2023-01-01T06:15+01:00,35550.6
2023-01-01T06:30+01:00,35315.1
2023-01-01T06:45+01:00,35359.7
2023-01-01T07:00+01:00,36008.1
2023-01-01T07:15+01:00,36217.4
2023-01-01T07:30+01:00,36448.1
2023-01-01T07:45+01:00,36672.8
2023-01-01T08:00+01:00,36402.1
2023-01-01T08:15+01:00,36686.5
2023-01-01T08:30+01:00,37213.5
2023-01-01T08:45+01:00,37642.4
2023-01-01T09:00+01:00,38242.7
2023-01-01T09:15+01:00,39146.4
2023-01-01T09:30+01:00,39819.1
2023-01-01T09:45+01:00,40351.2
2023-01-01T10:00+01:00,40085.3
2023-01-01T10:15+01:00,40752.9
2023-01-01T10:30+01:00,41596.7
2023-01-01T10:45+01:00,42247.9
2023-01-01T11:00+01:00,42768.3
2023-01-01T11:15+01:00,43785.5
2023-01-01T11:30+01:00,44374.3
2023-01-01T11:45+01:00,44468.3
2023-01-01T12:00+01:00,44482.4
2023-01-01T12:15+01:00,44580.1
2023-01-01T12:30+01:00,44322.8
2023-01-01T12:45+01:00,43941.9
2023-01-01T13:00+01:00,44074.3
2023-01-01T13:15+01:00,43851.2
2023-01-01T13:30+01:00,43664.6
2023-01-01T13:45+01:00,43399.3
2023-01-01T14:00+01:00,43376.1
2023-01-01T14:15+01:00,43313.4
2023-01-01T14:30+01:00,43537.7
2023-01-01T14:45+01:00,43360.5
2023-01-01T15:00+01:00,43809.4
2023-01-01T15:15+01:00,43570.6
2023-01-01T15:30+01:00,43802.6
