Time,Load,Direct_irradiation,Global_radiation,Hydro_reservoir,Hydro_river,Temperature,Wind_potential
2020-01-01T00:00+01:00,6058.8,0.0,0.0,3429.04,4206.16,-0.55,0.15
2020-01-01T01:00+01:00,5873.6,0.0,0.0,3429.04,4206.16,-0.72,0.14
2020-01-01T02:00+01:00,5722.0,0.0,0.0,3429.04,4206.16,-0.95,0.13
2020-01-01T03:00+01:00,5405.2,0.0,0.0,3429.04,4206.16,-1.23,0.12
2020-01-01T04:00+01:00,5252.8,0.0,0.0,3429.04,4206.16,-1.48,0.12
2020-01-01T05:00+01:00,5338.4,0.0,0.0,3429.04,4206.16,-1.62,0.11
2020-01-01T06:00+01:00,5405.2,0.0,0.0,3429.04,4206.16,-1.83,0.1
2020-01-01T07:00+01:00,5716.0,0.35,0.35,3429.04,4206.16,-2.49,0.1
2020-01-01T08:00+01:00,6033.2,121.35,43.47,3429.04,4206.16,-1.83,0.07
2020-01-01T09:00+01:00,6329.6,229.79,132.18,3429.04,4206.16,0.1,0.02
2020-01-01T10:00+01:00,6602.0,276.89,214.7,3429.04,4206.16,2.39,0.03
2020-01-01T11:00+01:00,6741.2,339.92,271.31,3429.04,4206.16,4.02,0.05
2020-01-01T12:00+01:00,6751.6,334.72,279.7,3429.04,4206.16,4.78,0.05
2020-01-01T13:00+01:00,6570.4,249.97,238.23,3429.04,4206.16,4.89,0.04
2020-01-01T14:00+01:00,6473.2,170.3,164.41,3429.04,4206.16,4.31,0.01
2020-01-01T15:00+01:00,6492.8,32.81,62.98,3429.04,4206.16,3.03,0.02
2020-01-01T16:00+01:00,6721.6,1.8,2.48,3429.04,4206.16,1.7,0.02
2020-01-01T17:00+01:00,7335.2,0.0,0.0,3429.04,4206.16,0.59,0.04
2020-01-01T18:00+01:00,7463.2,0.0,0.0,3429.04,4206.16,-0.23,0.06
2020-01-01T19:00+01:00,7309.2,0.0,0.0,3429.04,4206.16,-1.22,0.07
2020-01-01T20:00+01:00,7004.4,0.0,0.0,3429.04,4206.16,-1.97,0.08
2020-01-01T21:00+01:00,6676.8,0.0,0.0,3429.04,4206.16,-2.46,0.11
2020-01-01T22:00+01:00,6612.0,0.0,0.0,3429.04,4206.16,-2.62,0.13
2020-01-01T23:00+01:00,6257.6,0.0,0.0,3429.04,4206.16,-2.57,0.14
2020-01-02T00:00+01:00,5972.4,0.0,0.0,2722.95,4165.16,-2.68,0.15
2020-01-02T01:00+01:00,5669.6,0.0,0.0,2722.95,4165.16,-2.69,0.16
2020-01-02T02:00+01:00,5548.0,0.0,0.0,2722.95,4165.16,-2.66,0.17
2020-01-02T03:00+01:00,5421.2,0.0,0.0,2722.95,4165.16,-2.71,0.18
