Date (GMT+1),Load
,Power (MW)
2024-01-01T00:00+01:00,5730.4
2024-01-01T00:15+01:00,5684.8
2024-01-01T00:30+01:00,5624.4
2024-01-01T00:45+01:00,5555.6
2024-01-01T01:00+01:00,5577.6
2024-01-01T01:15+01:00,5511.2
2024-01-01T01:30+01:00,5443.6
2024-01-01T01:45+01:00,5389.6
2024-01-01T02:00+01:00,5423.6
2024-01-01T02:15+01:00,5349.6
2024-01-01T02:30+01:00,5290.4
2024-01-01T02:45+01:00,5243.2
2024-01-01T03:00+01:00,5172
2024-01-01T03:15+01:00,5106.4
2024-01-01T03:30+01:00,5074.4
2024-01-01T03:45+01:00,5089.6
2024-01-01T04:00+01:00,5089.2
2024-01-01T04:15+01:00,5064.4
2024-01-01T04:30+01:00,5070
2024-01-01T04:45+01:00,5061.6
2024-01-01T05:00+01:00,5128.8
2024-01-01T05:15+01:00,5149.6
2024-01-01T05:30+01:00,5177.2
2024-01-01T05:45+01:00,5185.2
2024-01-01T06:00+01:00,5211.6
2024-01-01T06:15+01:00,5254
2024-01-01T06:30+01:00,5336.4
2024-01-01T06:45+01:00,5388.4
2024-01-01T07:00+01:00,5478.4
2024-01-01T07:15+01:00,5554
2024-01-01T07:30+01:00,5652.4
2024-01-01T07:45+01:00,5712.4
2024-01-01T08:00+01:00,5838.4
2024-01-01T08:15+01:00,5880.4
2024-01-01T08:30+01:00,5965.2
2024-01-01T08:45+01:00,6027.2
2024-01-01T09:00+01:00,6124
2024-01-01T09:15+01:00,6155.6
2024-01-01T09:30+01:00,6186.4
2024-01-01T09:45+01:00,6201.2
2024-01-01T10:00+01:00,6251.6
2024-01-01T10:15+01:00,6294.4
2024-01-01T10:30+01:00,6286.8
2024-01-01T10:45+01:00,6280.4
2024-01-01T11:00+01:00,6278.4
2024-01-01T11:15+01:00,6297.2
2024-01-01T11:30+01:00,6292
2024-01-01T11:45+01:00,6224.8
2024-01-01T12:00+01:00,6250.4
2024-01-01T12:15+01:00,6190.8
2024-01-01T12:30+01:00,6136
2024-01-01T12:45+01:00,6077.2
2024-01-01T13:00+01:00,6126.4
2024-01-01T13:15+01:00,6094.8
2024-01-01T13:30+01:00,6103.6
2024-01-01T13:45+01:00,6100.4
2024-01-01T14:00+01:00,6086.4
2024-01-01T14:15+01:00,6101.6
2024-01-01T14:30+01:00,6146.4
2024-01-01T14:45+01:00,6154.8
2024-01-01T15:00+01:00,6230.4
2024-01-01T15:15+01:00,6285.2
2024-01-01T15:30+01:00,6371.2
2024-01-01T15:45+01:00,6449.2
2024-01-01T16:00+01:00,6520.8
2024-01-01T16:15+01:00,6650.8
2024-01-01T16:30+01:00,6812
2024-01-01T16:45+01:00,6877.2
2024-01-01T17:00+01:00,6998
2024-01-01T17:15+01:00,7043.2
2024-01-01T17:30+01:00,7060
2024-01-01T17:45+01:00,7115.6
2024-01-01T18:00+01:00,7126.8
2024-01-01T18:15+01:00,7100
