Time,Direct_irradiation
2020-01-01 00:00:00,0.0
2020-01-01 01:00:00,0.0
2020-01-01 02:00:00,0.0
2020-01-01 03:00:00,0.0
2020-01-01 04:00:00,0.0
2020-01-01 05:00:00,0.0
2020-01-01 06:00:00,0.0
2020-01-01 07:00:00,0.0
2020-01-01 08:00:00,87.46
2020-01-01 09:00:00,319.36
2020-01-01 10:00:00,435.57
2020-01-01 11:00:00,529.97
2020-01-01 12:00:00,518.56
2020-01-01 13:00:00,473.05
2020-01-01 14:00:00,331.11
2020-01-01 15:00:00,127.35
2020-01-01 16:00:00,4.74
2020-01-01 17:00:00,0.0
2020-01-01 18:00:00,0.0
2020-01-01 19:00:00,0.0
2020-01-01 20:00:00,0.0
2020-01-01 21:00:00,0.0
2020-01-01 22:00:00,0.0
2020-01-01 23:00:00,0.0
2020-01-02 00:00:00,0.0
2020-01-02 01:00:00,0.0
2020-01-02 02:00:00,0.0
2020-01-02 03:00:00,0.0
2020-01-02 04:00:00,0.0
2020-01-02 05:00:00,0.0
2020-01-02 06:00:00,0.0
2020-01-02 07:00:00,0.0
2020-01-02 08:00:00,80.36
2020-01-02 09:00:00,333.05
2020-01-02 10:00:00,413.12
2020-01-02 11:00:00,440.79
2020-01-02 12:00:00,451.77
2020-01-02 13:00:00,371.36
2020-01-02 14:00:00,279.6
2020-01-02 15:00:00,104.92
2020-01-02 16:00:00,5.67
2020-01-02 17:00:00,0.0
2020-01-02 18:00:00,0.0
2020-01-02 19:00:00,0.0
2020-01-02 20:00:00,0.0
2020-01-02 21:00:00,0.0
2020-01-02 22:00:00,0.0
2020-01-02 23:00:00,0.0
2020-01-03 00:00:00,0.0
2020-01-03 01:00:00,0.0
2020-01-03 02:00:00,0.0
2020-01-03 03:00:00,0.0
2020-01-03 04:00:00,0.0
2020-01-03 05:00:00,0.0
2020-01-03 06:00:00,0.0
2020-01-03 07:00:00,0.0
2020-01-03 08:00:00,36.3
2020-01-03 09:00:00,138.03
2020-01-03 10:00:00,179.96
2020-01-03 11:00:00,264.74
2020-01-03 12:00:00,263.78
2020-01-03 13:00:00,234.98
2020-01-03 14:00:00,173.45
2020-01-03 15:00:00,61.62
2020-01-03 16:00:00,0.0
2020-01-03 17:00:00,0.0
2020-01-03 18:00:00,0.0
2020-01-03 19:00:00,0.0
2020-01-03 20:00:00,0.0
2020-01-03 21:00:00,0.0
2020-01-03 22:00:00,0.0
2020-01-03 23:00:00,0.0
2020-01-04 00:00:00,0.0
2020-01-04 01:00:00,0.0
2020-01-04 02:00:00,0.0
2020-01-04 03:00:00,0.0
2020-01-04 04:00:00,0.0
2020-01-04 05:00:00,0.0
2020-01-04 06:00:00,0.0
2020-01-04 07:00:00,0.0
2020-01-04 08:00:00,6.14
2020-01-04 09:00:00,31.11
2020-01-04 10:00:00,48.74
2020-01-04 11:00:00,76.9
2020-01-04 12:00:00,87.88
2020-01-04 13:00:00,89.3
2020-01-04 14:00:00,65.19
2020-01-04 15:00:00,27.16
2020-01-04 16:00:00,2.22
2020-01-04 17:00:00,0.0
2020-01-04 18:00:00,0.0
2020-01-04 19:00:00,0.0
2020-01-04 20:00:00,0.0
2020-01-04 21:00:00,0.0
2020-01-04 22:00:00,0.0
2020-01-04 23:00:00,0.0
2020-01-05 00:00:00,0.0
2020-01-05 01:00:00,0.0
2020-01-05 02:00:00,0.0
2020-01-05 03:00:00,0.0
2020-01-05 04:00:00,0.0
2020-01-05 05:00:00,0.0
2020-01-05 06:00:00,0.0
2020-01-05 07:00:00,0.0
2020-01-05 08:00:00,27.18
2020-01-05 09:00:00,160.34
2020-01-05 10:00:00,261.82
2020-01-05 11:00:00,310.18
2020-01-05 12:00:00,349.11
2020-01-05 13:00:00,377.77
2020-01-05 14:00:00,295.0
2020-01-05 15:00:00,132.09
2020-01-05 16:00:00,13.93
2020-01-05 17:00:00,0.0
2020-01-05 18:00:00,0.0
2020-01-05 19:00:00,0.0
2020-01-05 20:00:00,0.0
2020-01-05 21:00:00,0.0
2020-01-05 22:00:00,0.0
2020-01-05 23:00:00,0.0
2020-01-06 00:00:00,0.0
2020-01-06 01:00:00,0.0
2020-01-06 02:00:00,0.0
2020-01-06 03:00:00,0.0
2020-01-06 04:00:00,0.0
2020-01-06 05:00:00,0.0
2020-01-06 06:00:00,0.0
2020-01-06 07:00:00,0.0
2020-01-06 08:00:00,103.69
2020-01-06 09:00:00,293.51
2020-01-06 10:00:00,445.66
2020-01-06 11:00:00,455.75
2020-01-06 12:00:00,493.81
2020-01-06 13:00:00,420.63
2020-01-06 14:00:00,348.7
2020-01-06 15:00:00,188.69
2020-01-06 16:00:00,20.59
2020-01-06 17:00:00,0.0
2020-01-06 18:00:00,0.0
2020-01-06 19:00:00,0.0
2020-01-06 20:00:00,0.0
2020-01-06 21:00:00,0.0
2020-01-06 22:00:00,0.0
2020-01-06 23:00:00,0.0
2020-01-07 00:00:00,0.0
2020-01-07 01:00:00,0.0
2020-01-07 02:00:00,0.0
2020-01-07 03:00:00,0.0
2020-01-07 04:00:00,0.0
2020-01-07 05:00:00,0.0
2020-01-07 06:00:00,0.0
2020-01-07 07:00:00,0.0
2020-01-07 08:00:00,17.67
2020-01-07 09:00:00,90.86
2020-01-07 10:00:00,116.01
2020-01-07 11:00:00,144.53
2020-01-07 12:00:00,155.2
2020-01-07 13:00:00,143.63
2020-01-07 14:00:00,136.33
2020-01-07 15:00:00,57.8
2020-01-07 16:00:00,4.47
2020-01-07 17:00:00,0.0
2020-01-07 18:00:00,0.0
2020-01-07 19:00:00,0.0
2020-01-07 20:00:00,0.0
2020-01-07 21:00:00,0.0
2020-01-07 22:00:00,0.0
2020-01-07 23:00:00,0.0
2020-01-08 00:00:00,0.0
2020-01-08 01:00:00,0.0
2020-01-08 02:00:00,0.0
2020-01-08 03:00:00,0.0
2020-01-08 04:00:00,0.0
2020-01-08 05:00:00,0.0
2020-01-08 06:00:00,0.0
2020-01-08 07:00:00,0.0
2020-01-08 08:00:00,62.32
2020-01-08 09:00:00,237.36
2020-01-08 10:00:00,339.96
2020-01-08 11:00:00,364.01
2020-01-08 12:00:00,414.96
2020-01-08 13:00:00,330.89
2020-01-08 14:00:00,207.31
2020-01-08 15:00:00,94.45
2020-01-08 16:00:00,0.08
2020-01-08 17:00:00,0.0
2020-01-08 18:00:00,0.0
2020-01-08 19:00:00,0.0
2020-01-08 20:00:00,0.0
2020-01-08 21:00:00,0.0
2020-01-08 22:00:00,0.0
2020-01-08 23:00:00,0.0
2020-01-09 00:00:00,0.0
2020-01-09 01:00:00,0.0
2020-01-09 02:00:00,0.0
2020-01-09 03:00:00,0.0
2020-01-09 04:00:00,0.0
2020-01-09 05:00:00,0.0
2020-01-09 06:00:00,0.0
2020-01-09 07:00:00,0.0
2020-01-09 08:00:00,36.07
2020-01-09 09:00:00,198.59
2020-01-09 10:00:00,334.56
2020-01-09 11:00:00,437.16
2020-01-09 12:00:00,448.46
2020-01-09 13:00:00,402.19
2020-01-09 14:00:00,304.97
2020-01-09 15:00:00,152.32
2020-01-09 16:00:00,8.74
2020-01-09 17:00:00,0.0
2020-01-09 18:00:00,0.0
2020-01-09 19:00:00,0.0
2020-01-09 20:00:00,0.0
2020-01-09 21:00:00,0.0
2020-01-09 22:00:00,0.0
2020-01-09 23:00:00,0.0
2020-01-10 00:00:00,0.0
2020-01-10 01:00:00,0.0
2020-01-10 02:00:00,0.0
2020-01-10 03:00:00,0.0
2020-01-10 04:00:00,0.0
2020-01-10 05:00:00,0.0
2020-01-10 06:00:00,0.0
2020-01-10 07:00:00,0.0
2020-01-10 08:00:00,26.83
2020-01-10 09:00:00,192.26
2020-01-10 10:00:00,322.19
2020-01-10 11:00:00,341.54
2020-01-10 12:00:00,260.07
2020-01-10 13:00:00,252.9
2020-01-10 14:00:00,160.15
2020-01-10 15:00:00,69.98
2020-01-10 16:00:00,0.2
2020-01-10 17:00:00,0.01
2020-01-10 18:00:00,0.0
2020-01-10 19:00:00,0.0
2020-01-10 20:00:00,0.0
2020-01-10 21:00:00,0.0
2020-01-10 22:00:00,0.0
2020-01-10 23:00:00,0.0
2020-01-11 00:00:00,0.0
2020-01-11 01:00:00,0.0
2020-01-11 02:00:00,0.0
2020-01-11 03:00:00,0.0
2020-01-11 04:00:00,0.0
2020-01-11 05:00:00,0.0
2020-01-11 06:00:00,0.0
2020-01-11 07:00:00,0.0
2020-01-11 08:00:00,17.92
2020-01-11 09:00:00,100.87
2020-01-11 10:00:00,210.79
2020-01-11 11:00:00,294.82
2020-01-11 12:00:00,340.32
2020-01-11 13:00:00,277.33
2020-01-11 14:00:00,186.32
2020-01-11 15:00:00,92.21
2020-01-11 16:00:00,4.13
2020-01-11 17:00:00,0.01
2020-01-11 18:00:00,0.0
2020-01-11 19:00:00,0.0
2020-01-11 20:00:00,0.0
2020-01-11 21:00:00,0.0
2020-01-11 22:00:00,0.0
2020-01-11 23:00:00,0.0
2020-01-12 00:00:00,0.0
2020-01-12 01:00:00,0.0
2020-01-12 02:00:00,0.0
2020-01-12 03:00:00,0.0
2020-01-12 04:00:00,0.0
2020-01-12 05:00:00,0.0
2020-01-12 06:00:00,0.0
2020-01-12 07:00:00,0.0
2020-01-12 08:00:00,93.26
2020-01-12 09:00:00,290.25
2020-01-12 10:00:00,447.34
2020-01-12 11:00:00,608.78
2020-01-12 12:00:00,615.88
2020-01-12 13:00:00,536.94
2020-01-12 14:00:00,345.13
2020-01-12 15:00:00,155.72
2020-01-12 16:00:00,15.31
2020-01-12 17:00:00,0.02
2020-01-12 18:00:00,0.0
2020-01-12 19:00:00,0.0
2020-01-12 20:00:00,0.0
2020-01-12 21:00:00,0.0
2020-01-12 22:00:00,0.0
2020-01-12 23:00:00,0.0
2020-01-13 00:00:00,0.0
2020-01-13 01:00:00,0.0
2020-01-13 02:00:00,0.0
2020-01-13 03:00:00,0.0
2020-01-13 04:00:00,0.0
2020-01-13 05:00:00,0.0
2020-01-13 06:00:00,0.0
2020-01-13 07:00:00,0.0
2020-01-13 08:00:00,77.32
2020-01-13 09:00:00,235.95
2020-01-13 10:00:00,296.42
2020-01-13 11:00:00,352.11
2020-01-13 12:00:00,351.62
2020-01-13 13:00:00,303.39
2020-01-13 14:00:00,263.81
2020-01-13 15:00:00,185.18
2020-01-13 16:00:00,24.88
2020-01-13 17:00:00,0.04
2020-01-13 18:00:00,0.0
2020-01-13 19:00:00,0.0
2020-01-13 20:00:00,0.0
2020-01-13 21:00:00,0.0
2020-01-13 22:00:00,0.0
2020-01-13 23:00:00,0.0
2020-01-14 00:00:00,0.0
2020-01-14 01:00:00,0.0
2020-01-14 02:00:00,0.0
2020-01-14 03:00:00,0.0
2020-01-14 04:00:00,0.0
2020-01-14 05:00:00,0.0
2020-01-14 06:00:00,0.0
2020-01-14 07:00:00,0.0
2020-01-14 08:00:00,170.4
2020-01-14 09:00:00,374.59
2020-01-14 10:00:00,555.63
2020-01-14 11:00:00,634.97
2020-01-14 12:00:00,634.63
2020-01-14 13:00:00,531.7
2020-01-14 14:00:00,354.94
2020-01-14 15:00:00,155.95
2020-01-14 16:00:00,9.0
2020-01-14 17:00:00,0.06
2020-01-14 18:00:00,0.0
2020-01-14 19:00:00,0.0
2020-01-14 20:00:00,0.0
2020-01-14 21:00:00,0.0
2020-01-14 22:00:00,0.0
2020-01-14 23:00:00,0.0
2020-01-15 00:00:00,0.0
2020-01-15 01:00:00,0.0
2020-01-15 02:00:00,0.0
2020-01-15 03:00:00,0.0
2020-01-15 04:00:00,0.0
2020-01-15 05:00:00,0.0
2020-01-15 06:00:00,0.0
2020-01-15 07:00:00,0.0
2020-01-15 08:00:00,212.1
2020-01-15 09:00:00,452.83
2020-01-15 10:00:00,587.82
2020-01-15 11:00:00,689.33
2020-01-15 12:00:00,629.48
2020-01-15 13:00:00,517.19
2020-01-15 14:00:00,389.43
2020-01-15 15:00:00,196.63
2020-01-15 16:00:00,25.81
2020-01-15 17:00:00,0.1
2020-01-15 18:00:00,0.0
2020-01-15 19:00:00,0.0
2020-01-15 20:00:00,0.0
2020-01-15 21:00:00,0.0
2020-01-15 22:00:00,0.0
2020-01-15 23:00:00,0.0
2020-01-16 00:00:00,0.0
2020-01-16 01:00:00,0.0
2020-01-16 02:00:00,0.0
2020-01-16 03:00:00,0.0
2020-01-16 04:00:00,0.0
2020-01-16 05:00:00,0.0
2020-01-16 06:00:00,0.0
2020-01-16 07:00:00,0.0
2020-01-16 08:00:00,44.05
2020-01-16 09:00:00,209.86
2020-01-16 10:00:00,354.23
2020-01-16 11:00:00,511.33
2020-01-16 12:00:00,500.2
2020-01-16 13:00:00,419.67
2020-01-16 14:00:00,318.79
2020-01-16 15:00:00,186.19
2020-01-16 16:00:00,17.05
2020-01-16 17:00:00,0.14
2020-01-16 18:00:00,0.0
2020-01-16 19:00:00,0.0
2020-01-16 20:00:00,0.0
2020-01-16 21:00:00,0.0
2020-01-16 22:00:00,0.0
2020-01-16 23:00:00,0.0
2020-01-17 00:00:00,0.0
2020-01-17 01:00:00,0.0
2020-01-17 02:00:00,0.0
2020-01-17 03:00:00,0.0
